ros_time_sec,sim_time_sec,trajectory_elapsed_sec,UPJ5_position,UPJ5_velocity,UPJ5_acceleration,UPJ6_position,UPJ6_velocity,UPJ6_acceleration
1779803130.6715255,2.9219999999999,2.2599999999999727,0.2868147284150381,-0.09960526307666596,-0.25980853554782163,-0.0077333708679135724,-0.6155788348121173,-0.9290128323329316
1779803130.6775973,2.9239999999998996,2.2619999999999725,0.28661455444859013,-0.100086983223969,-0.2408600736515179,-0.00896813636964301,-0.6173827508647192,-0.9019580263009419
1779803130.6833577,2.9259999999998993,2.2639999999999723,0.28641313722426504,-0.10070861216254237,-0.31081446928668544,-0.010206392699451065,-0.6191281649040273,-0.8727070196540843
1779803130.690207,2.927999999999899,2.265999999999972,0.2862107544087208,-0.10119140777212134,-0.24139780478948242,-0.011447971262795915,-0.6207892816724254,-0.8305583841990427
1779803130.6963904,2.929999999999899,2.267999999999972,0.2860070953948939,-0.10182950691346232,-0.31904957067049183,-0.012692786200780135,-0.6224074689921097,-0.8090936598421639
1779803130.7028565,2.9319999999998987,2.2699999999999716,0.28580230180680927,-0.10239679404230018,-0.28364356441892835,-0.013940568854540671,-0.623891326880268,-0.741928944079151
1779803130.709489,2.9339999999998985,2.2719999999999714,0.2855963671528042,-0.10296732700253967,-0.2852664801197488,-0.015191152286041096,-0.6252917157502125,-0.7001944349722122
1779803130.7155817,2.9359999999998982,2.273999999999971,0.285388961125623,-0.10370301359058988,-0.3678432940251025,-0.01644444243496449,-0.6266450744616984,-0.6766793557429485
1779803130.7225978,2.937999999999898,2.275999999999971,0.2851801176917125,-0.10442171695527924,-0.35935168234468157,-0.01770013926741801,-0.62784841622676,-0.6016708825308248
1779803130.7285275,2.939999999999898,2.2779999999999707,0.284969845249472,-0.10513622112024146,-0.3572520824811076,-0.01895803889369362,-0.6289498131378042,-0.5506984555220806
1779803130.7342544,2.9419999999998976,2.2799999999999705,0.28475779980202115,-0.10602272372542555,-0.4432513025920473,-0.020218030377208096,-0.6299957417572394,-0.5229643097175996
1779803130.7403312,2.9439999999998974,2.2819999999999703,0.28454413532350364,-0.10683223925875053,-0.4047577666624891,-0.02147981299075849,-0.6308913067751978,-0.4477825089791998
1779803130.7461133,2.945999999999897,2.28399999999997,0.2843284341476678,-0.10785058791791982,-0.5091743295846454,-0.022743206372369776,-0.6316966908056437,-0.4026920152229718
1779803130.752091,2.947999999999897,2.28599999999997,0.28411095614842635,-0.10873899962072714,-0.444205851403659,-0.02400785081430065,-0.632322220965437,-0.3127650798966375
1779803130.758458,2.9499999999998967,2.2879999999999696,0.28389184551779484,-0.10955531531575145,-0.40815784751215695,-0.025273496566981715,-0.6328228763405327,-0.2503276875478466
